TIPLOC,Geography Description
WORKSUY,Worksop Up Yard
WORKEJN,Worksop East Jn
WBTNADV,West Burton Ps Colas
WBTNEJ,West Burton East Jn
TREET39,Treeton S1039
TREETGL,Treeton Goods Loop
BEGHT34,Westhorpe (Beighton) S1034
BEGHT33,Westhorpe (Beighton) S1033
BEGHT30,Westhorpe (Beighton) S1030
BEGHT29,Westhorpe (Beighton) S1029
BEGHT28,Westhorpe (Beighton) S1028
WDHOEWS,Woodhouse Junc
SHEFS82,Sheffield Signal S82
SHEFS92,Sheffield Signal S92
SHEFS91,Sheffield Signal S91
SHEFS89,Sheffield Signal S89
SHEFS52,Sheffield Signal S52
ATTSTEM,Attercliffe Stone Teml D&C
BTSDN2R,Brightside No2 Reception
BTSDN1R,Brightside No1 Reception
BTSD174,Brightside Loop
TINSMEA,Tinsley Meadowhall
MEADLOS,Meadowhall Limit Of Shunt
MEADW69,Meadowhall S1069
PARKGAT,Parkgate
TINSLNJ,Tinsley North Jn
TINSGBR,Tinsley Yard Gbrf
TINSFHH,Tinsley Yard Fhh
MBROGBR,Masborough N&W Gbrf
CANKL59,Canklow S1059
CANKL55,Canklow S1055
ROTHGBR,Rotherham (Booths) Gbrf
ROTHPAJ,Rotherham Parkgate Jn
ROTH072,Rotherham S1072
ROTH071,Rotherham S1071
ROTH068,Rotherham S1068
ALDWLOS,Aldwarke Limit Of Shunt
ALDW077,Aldwarke Jn S1077
ALDWGBF,Aldwarke Ues Gbrf
KLNHLOS,Kilnhurst Limit Of Shunt
KLNH109,Kilnhurst S1109
KLNH105,Kilnhurst S1105
KLNH104,Kilnhurst S1104
BNSL305,Barnsley Sig 2305
MEXBRJN,Mexborough Jn
CONB883,Conisbrough Gpls883
CONBSLS,Conisbrough South Los
CONBNLS,Conisbrough North Los
CONB125,Conisbrough S1125
DONCHGB,Hexthorpe Yard (Gbrf)
BLTNLOS,Bolton-Upon-Dearne Los
DONC489,Doncaster Sig D1489
RTFD343,Retford Dn Sdgs Sig 1343
RTFDDS,Retford Down Sidings
RTFDUS,Retford Up Sidings
DONCIEP,Doncaster Carr Iep Depot
DONCBDL,Doncaster Belmont Dn Lhs
DONCLMD,Doncaster Up Decoy Lmd
RBRTRPG,Doncaster Roberts Rd Rp Gbrf
DONCDRP,Doncaster Down Decoy Rp Gbrf
DONCRSG,Doncaster Robert Rds Shed (Gbr
DONCUDG,Doncaster Up Decoy Gbrf
DONCEWS,Doncaster Freight Depot
DONCSNY,Doncaster Snowys Yard
DONCWRL,Doncaster West Reception
HYWDJN,Haywood Jn
DONCPS,Doncaster Paper Sdgs
DONC298,Doncaster Sig D298
BRBDGBR,Barnby Dun Rockware Glass Gbrf
ARKS815,Arksey Signal D815
ARKS814,Arksey D814
BENIFAY,Benifayo-Almosafes
HCKP864,Balne Signal D864
HCKP863,Balne Signal Y863
DONC236,Doncaster Signal D236
HTFLGBF,Hatfield Main Colliery Gbf
FRDFACT,Ford Factoria
KEADBYC,Keadby
SCNTSTS,Scunthorpe Station Sidings
SCNTS20,Scunthorpe Signal S20
SCNTRGB,Scunthorpe Roxby Gullet Gb
SCNTROX,Roxby Gullet
SCNTANC,Scunthorpe Anchor Sdg Flhh
SCNTFRJ,Frodingham Jn
SCNTHWJ,Scunthorpe West Jn
SCNTAGB,Scunthorpe
SCNTANS,Scunthorpe Anchor Sidings
SCNTTYM,Scunthorpe Trent Yard Maint Pt
SCNTCLR,Scunthorpe Chp (Colas Rail)
SCNTFHH,Scunthorpe Coal Handling Plant
SCNTFL,Scunthorpe Trent Yard (Fl)
SCNTSFH,Scunthorpe Ore Plant Fhh
BNTBS43,Barnetby Signal Cb8843
BNTB801,Barnetby Gpl Cb8801
BNTB27,Barnetby Signal Be27
BNTBCRR,Barnetby Sdgs Colas Rail
BNTBRSF,Barnetby Ea Fuel Point Sdg
IMNGPUM,Immingham Puma Gbrf
IMNG253,Immingham Signal 253
IMNGHRR,Immingham Hit Headshunt Rr
IMNGBIO,Immingham Biomass Lp (Dbc)
IMNGBR7,Immingham Rr7 Gbrf
IMNGLL7,Immingham Loading Line 7
IMNGDCR,Immingham Dock
IMNGSS,Immingham Dock
IMMDRP,Immingham Mineral Quay Rp Gbrf
IMNGESL,Immingham Esl Gbrf
IMNGHGB,Immingham Rr1 Gbrf
IMNGHIG,Immingham H.I.T
IMNGA2,Immingham Dock
IMNGRID,Immingham Dock (Ridleys)
IMNGB4S,Immingham B4 Sidings
FODOUN,Fordoun
IMNGRSG,Immingham Reception Sdgs
IMNGLGB,Lindsey Oil Refinery Gbrf
LNDSRPG,Lindsey Or Rp Gbrf
IMNGLCR,Lindsey Oil Refinery Colas
IMNGNOG,Immingham Nordic
IMNGREF,Immingham Dock
IMNGABF,Immingham Dock
IMNGHAF,Immingham Dock
IMNGLOF,Lindsey Oil Refinery (Fl)
IMNGNIG,Immingham
IMNG7FH,Immingham Rec Line 7 (Flhh)
IMNGCPL,Immingham Cpl (Fhh)
IMNGHFH,Immingham Dock Ore Tml Fhh
IMNGCPG,Immingham Cpl Gbrf
SHVN40,Stonehaven Signal Sv40
CRGIDSL,Craiginches Down Sdg Loop
CRGIDRS,Aberdeen Craiginches
ULCENJ,Ulceby North Junction
ULCESJ,Ulceby South Junction
CRGICLR,Craiginches Aberdeen C.Rail
ABRDWGB,Aberdeen Waterloo Goods
KITTYGF,Kittybrewster Gf
KITTSCA,Scatter Burns
KEITBPG,Keith Branch Platform Gbrf
KEITMAC,Macpherson'S Transport
KEITCHI,Chivas Bros
GOOLEGG,Goole Glassworks Gbrf
GLBR901,Gilberdyke Signal 1901
FERR752,Ferriby Signal 752
FERR747,Ferriby Signal 747
HESSL35,Hessle Gpl Hr35
HESS37,Hessle East Jn Sig 37
HESSGBF,Hessle C And W (Gbrf)
HESSEJS,Hessle East Jn Sidings
HULLDTG,Hull Dairycoates Tlcn Gbrf
HULLBIG,Hull Biomass Gbrf
HULLBIO,Hull Biomass Lp (Dbc)
HULLBQS,B Quay Siding
HULL59,Hull Signal Hr59
HULLSS,Hull Station Sidings
DRIFD54,Driffield Gpl D54
HBDN7,Hebden Bridge Sig Hb7
MLNR8,Milner Royd Sig Mr8
DWBYGBR,Dewsbury Tilcon Gbrf
HLYM182,Healey Mills Signal 182
HLYM181,Healey Mills Signal 181
HLYM209,Healey Mills Signal 209
HLYM149,Healey Mills Signal 149
HLYM147,Healey Mills Signal 147
MORT586,Moorthorpe Signal L6586
MNKBRRG,Monk Bretton Redfearns Gbrf
WRNTGBR,Wrenthorpe Gbrf
WRNTHRP,Wrenthorpe Gbrf
WKFLDGL,Wakefield Kirkgate Gd Loop
WKFL249,Wakefield Westgate Sig 249
WKK1217,Wakefield Signal K1217
WKK1219,Wakefield Signal K1219
EGBRCRL,Eggborough Ps Colas Rail
DRAXCRL,Drax Ps Colas Rail
KNTN423,Knottingley Sig Fe6423
KNTN431,Knottingley Sig Fe6431
KNTN421,Knottingley
KNTN417,Knottingley Sig Fe6417
KNTN418,Knottingley Sig Fe6418
PTFTFHH,Pontefract Monkhill Sdgs
DRAXD17,Drax Ps Signal D17
KELNGBR,Kellingley Colliery Gbrf
DRAXD16,Drax Ps Signal D16
DRAXGGB,Drax Ps Gypsum Gbrf
STRT930,Stourton Signal S930
STRT921,Stourton Signal S921
STRTFHH,Stourton Down Sidings
LEED929,Leeds Sig L929
LEED928,Leeds Sig L928
STRTJRV,Stourton Jn Reverse
STRT912,Stourton Neck
LEEDMWL,Leeds Midland Road Wheel Lathe
HNSLCR,Hunslet Yard Colas Rail
HNSL487,Hunslet Station Jn
WHRDGF,Whitehall Rd Gf
LEED643,Leeds L3643 Signal
KRKSLFR,Kirkstall Forge
LEED774,Leeds Sig L774
WHRDGBF,Leeds Whitehall Rd Gbrf
LEED692,Leeds Signal 3692
HNSLCSL,Hunslet East (Lcsl)
HNSLTGB,Hunslet Tilcon Gbrf
HNSLTH,Hunslet East Hanson
NEVLGBF,Neville Hill Up Sdgs Gbrf
HSFTTBS,Horsforth Turnback Sidings
LEED606,Leeds Sig L3606
LEED613,Leeds L3613 Signal
LEED615,Leeds L3615 Signal
LEED421,Leeds L4421 Signal
APERLYB,Apperley Bridge
SHPYCEA,Shipley Crossley Evans
KEIGHSJ,Keighley Station Jn
FERYGGB,Ferrybridge Ps Gypsum Gbrf
GSCGGBR,Gascoigne Wood Sdgs Gbrf
SELBBNJ,Barlby North Jn
GSCGHAG,Hagg Lane Crossing
GSCGDBS,Gascoigne Wood Down
GSCG926,Gascoigne Wood Sig 5926
MILF235,Milford Sig M5235
CHFNNJN,Church Fenton North Jn
YORK656,York Sig Y656
YORKYSC,York Yard South Colas Rail
YORKLRD,York Leeman Rd Sidings
YORKPSP,York Parcel Spur
YORKYNF,York Yard North
YORKUPA,York Up Arrivals Fhh
YORK252,York Yard North
SCARLRE,Londesborough Rd Es
HAGT138,Harrogate Shunt Sig Lh4138
TOLE673,Tollerton Signal Gpl673
REDMGBF,Redmire Gbrf
TESTRED,Redmire (Rt Test)
TESTWEN,Wensley (Rt Test)
TESTBED,Bedale (Rt Test)
TESTLEE,Leeming Bar (Rt Test)
TESTSCR,Scruton (Rt Test)
NLRT691,Northallerton Sig. 691
NLRT478,Northallerton Signal 478
DLTNDS,Darlington Down Sidings
DLTNUSF,Darlington Up Sdgs (Flhh)
DLTNUSG,Darlington Up S.S. (Gbrf)
HGHNMPS,Merchant Park Sidings
BSAUWCP,Wolsingham Coal Handling  Plt
BSAUWEA,Bishop Auckland West
CRGHSC1,Crag Hall Signal C1
WLTNEFW,Wilton Efw Terminal
REDCMTC,Redcar Mineral Term Colas
WLTNGBF,Wilton Power Station Gbrf
REDGBRF,Redcar Mineral Terminal Gbrf
REDCGBF,Redcar
LACKGBF,Lackenby Ssi Gbrf
STHBDRS,South Bank Tees Dock (Drs)
LACKFHH,Lackenby Ssi Fhh
TEESDK,Tees Dock Export Berth Dbs
PICKNDL,Newton Dale Halt
PICKLEV,Levisham
NUNTHN1,Nunthorpe Signal N1
MDLSDSG,Middlesbrough Dawson Gbrf
MDLSBDR,Middlesbrough (Drs)
MDLSDRS,Middlesbrough Ayrton (Drs)
TEESGFH,Newport East
TEES137,Tees Yard Signal Ty137
TABY176,Thornaby Sig Ty176
STOCGBF,Stockton Thompson Gbrf
STOCTAD,Stockton Thompson (Drs)
STOCDC,Stockton Thompson (Dc)*
THRIGBR,Thrislington Gbrf
FYHLGBF,Ferryhill Tc Old Yard Gbrf
HVRTWRP,Haverton Hill Exch Sidings
HVRTDRR,Haverton Hill Drs
PRTCPHL,Phillips Loop
PRTCGBR,Port Clarence (Gbrf)
SETNABL,Seaton-On-Tees Able Uk
SRTNJN,Stranton Junction
SEAHPOL,Dawdon
SEAHCLR,Seaham Harbour Colas Rail
SNDRLS,Sunderland Londonderry Sdg
SNDRSTH,Sunderland South Jn
BRWHGLJ,Green Lane Jn (Pta Bndry)
BRWHBEJ,Boldon East Jn
TYNE176,Tyne Yard Sig T176
HEXHM55,Hexham Sig Hm55
HEXHM35,Hexham Sig Hm35
HEXH55,Hexham Sig He55 Rev
HEXHTS,Hexham Tamper Sidings
HLTW57,Haltwhistle Sig 57
MLKR102,Melkridge Sig Hw102
JARRAFL,Tyne Dock
WSLKWXJ,Winning Crossing
NBLYRP,North Blyth Rp Gbrf
NBLYAGB,North Blyth Alcan Gbrf
NBLYGBF,North Blyth
LYNMGBF,Lynemouth Power Stn (Gbrf)
NBLYEWS,North Blyth (Dbs)
LYNMSGB,Lynemouth Smelter Gbrf
BUTRDCR,Butterwell (Dcr)
BUTRGBF,Butterwell Opencast
PTBNDBS,Potland Burn Db Schenker
PTBNFHH,Potland Burn (Fhh)
MRPTBTS,Morpeth Barmoor Thru Sdg
MRPTHRS,Morpeth Reversing Siding
ALNMUES,Alnmouth Up Eng Sidings
CHVNNC,Chevington Nrth Crossovers
CHVNLDS,Chevington Loop Down Sdg
BELFTS,Belford Tamper Sidings
BELFTIL,Tilcon Quarry
BELFDRS,Belford
SRUAN,Struan
CRNFDSG,Carnforth Down Sdgs
AVIESGB,Aviemore (Speyside) Gbrf
BOATGBF,Boat Of Garten Gbrf
GOVS4,Grange-Over-Sands Signal 4
PLMPTNJ,Plumpton Junction
BARO54,Barrow-In-Furness Sig 52/53/54
ASKAM6,Askam Signal Am6
MLLMDRS,Millom
IVRNHBD,Inverness Harbour Branch
IVRNFSD,Inverness Freight Sidings
IVRNCLR,Inverness Millburn Colas Rail
CONONBR,Conon Bridge
LAIRSSH,Lairg South Shunt
GRGMBOW,Bower
SELAS18,Sellafield Signal Sd18
SELADRS,Sellafield
WKNTDRP,Workington Docks
WKNTDRS,Workington Docks
LEWESUS,Lewes Up Siding
WOLSETC,Woolston Emer Trail Xover
STNBS34,Stonebridge Park Signal Ws34
STNBS36,Stonebridge Park Signal Ws36
MLVRWLP,Malvern Wells Loop
IPSW328,Ipswich Signal Co.328
FOXTFHH,Foxton Fhh
ARDWTMD,Ardwick T.M.D
CSTLDSE,Castleton Down Sidings
MLLMSDG,Millom Siding (Dbs)
HNDLFHH,Dowlow Hindlow
CESTFHH,Chesterton Junction Fhh
HESSLEE,Hessle East Jn.
SRNASCC,St Clears Crossing
OXWLME,Oxwellmains Down Marcroft Eng
FARENJN,Fareham North Junction
UDNGFHH,Viewpark Sdg Udngstn Lafrg
CLPH147,Clapham Junction Sig Vc147
OXWLFHH,Oxwellmains Lafarge
WLWY182,Welwyn Garden City Sig K182
SCNTMES,Scunthorpe Mills Exch Sdgs
BROXDPL,Broxbourne Down Pass Loop
FDRSFHH,F/L/Hhforders Sidings
BOMO011,Bournemouth Signal Bc 1011
MRGMAWJ,Margam Abbey West Jn
MRGMMID,Margam Middle Jn
THMSMTX,Thames Matex
LGWITH,Langwith-Whaley-Thorns
SCNTFLT,Scunthorpe
BRGE602,Bridgend 602 Signal
SCNTCGB,Scunthorpe B.S.C.
BRHM122,Barnham Signal Bh122
MARY10,Marylebone 10 Signal
MARY10,Marylebone 10 Signal
PKWD183,Paddock Wood Signal Ad183X
NWTLWJ,Newton West Jn
LNGMSTN,Mod (Army)
COLESHL,Coleshill Parkway
NEASFHH,Neasden Charrington Sdgs Flhh
CROFFHH,Croft Quarry Flhh
BOWDFHH,Bow Dept Flhh
CESTRNJ,Chesterton Junction Yd Nth
DITTNWJ,Ditton West Junction
CMUSLP,Cambus Loop
ALLOALP,Alloa Loop
HULLSTF,Hull Steel Terminal
TEESYDS,Tees Yard
SOTOEWS,Southampton M.C.T. Ews
WSHFORD,Wishford
BLTCCAM,Bletchly Cambridge Sdgs
GISBTNL,Gisburn Tunnel
PRSTSOJ,Preston South Junction
TROSWKJ,Trostre Works Junction
STFD251,Stratford Signal L251
PNTHCE,Ce Siding
YOVIYJ5,Yeovil Junc Signal Yj5
YOVI25,Yeovil Junction Sig Yj25
YOVI23,Yeovil Junction. Sig.Yj23
TOPLFHH,Topley Pike
SNGLSB,Singleton Sb
FDLRFHH,Fiddlers Ferry
SLAT972,Slateford Signal Es972
HVRTFHH,Haverton Hill Ex.S.
TLBYRR,Tilbury Container Services
MINEHED,Minehead(W.Somerset Rly)
PONSNDN,Ponsandane
PENZNCE,Penzance
PENZUPL,Penzance Up Loop Siding
LNGROCK,Long Rock
STIVES,St Ives Cornwall
CARBISB,Carbis Bay
STERTH,St Erth
LELANTS,Lelant Saltings
LELANT,Lelant
HAYLE,Hayle
BRWRRTS,Bristol Barow Rd Avon Cc Rts
JARRGBF,Tyne Dock Import Terminal
CBORNE,Camborne
CARRCE,Carrbridge Siding
ARISAIG,Arisaig
ARISCE,Ce Siding
MLAIGCE,Mallaig C.E.
MLAIG,Mallaig
MLAIGGF,Mallaig G.F.
MORAR,Morar
REDRUTH,Redruth
BEASDAL,Beasdale
DNKIRK,Dunkirque Via Dover
MARYUTS,Marylebone Up Tunnel Sidings
IMNGITF,Immingham Import Terminal
KYLELSH,Kyle Of Lochalsh
KYLELCE,Section Man Dingwall Conc
KYLEGF,Kyle Of Lochalsh G.F.
LCHALRT,Lochailort
PRYN,Penryn
DUIRNSH,Duirinish
PERANWL,Perranwell
PLOCKTN,Plockton
PENMERE,Penmere
PNWTHRJ,Penwithers Jn
FALMTHT,Falmouth Town
DUNCRAG,Duncraig Halt
NEWQUAY,Newquay
FALMTHD,Falmouth Docks
TRURO,Truro
QNTRLDW,Quintrell Downs
OBAN,Oban
OBANGF,Oban G.F.
STRMFRY,Stromeferry
ROBSTNS,Amoco
PROBUS,Probus
GLNFNNN,Glenfinnan
GLNFCE,Ce Siding
FERYGBF,Ferrybridge Power Station
MLFDHVN,Milford Haven
STCLMBR,St Columb Road
HRBRNSJ,Herbrandston Jn
CONNELF,Connel Ferry
ATADALE,Attadale
WSTNSD,Gulf Oil
JHNSTND,Johnston (Dyfed)
STCN,Strathcarron
STCNLC,Strathcarron L.C.
STCNCE,Strathcarron C.E.
FGDHBR,Fishguard Harbour
BRITUFJ,Briton Ferry Up Flying Loop Jn
BRITFRY,Briton Ferry
DRNIKML,Drinnick Mill
HAVRFDW,Haverfordwest
PEMBRKD,Pembroke Dock
BGLWJN,Burngullow
PRKATRE,Parkandillack Treviscoe Ecc Sd
PRKAKER,Parkandillack Kernick Ecc Sdg
PRKADIL,Parkandillack
BGLWECC,Ecc
RCHE,Roche
PEMBROK,Pembroke
LCHESDE,Locheilside
TAYNUCE,Ce Siding
TAYNULT,Taynuilt
CLARBRD,Clarbeston Road
LAMPHEY,Lamphey
STAUSTL,St Austell
BUGLE,Bugle
BUGLROC,Rocks Mechanical Dries Ecc Sdg
GNBARWJ,Goonbarrow Jn
LUXULYN,Luxulyan
LCEILOB,Loch Eil Outward Bound
STRNRTN,Stranraer Town
STRNYGF,Stranraer Yard G.F.
STRNRR,Stranraer
CORPCPM,Wiggins Teape (Uk) (Tlc)
ANAT,Annat Signal Box & Branch
MNORBER,Manorbier
STBLAZY,St Blazey
STBLTMD,St Blazey Traction Mtce
STBLZYY,St Blazey Yard
EGBRGBF,Eggborough Power Station
PARR,Par
FLSCRHN,Falls Of Cruachan
CORPACH,Corpach
FRTWLMS,Fort William Station Sidings
FRTWLM,Fort William
LSTWCSG,Lostwithiel Clay Sidings
LSTWTHL,Lostwithiel
BODMNPW,Bodmin Parkway
FRTWLCE,Section Man Ft William Conc
FRTWJYD,Fort William Jn Yard Tc
BANAVIE,Banavie
FRTWJN,Fort William Jn
FRTWBAC,Fort William (British Alcan)
PNALLY,Penally
CLYNDRW,Clunderwen
NRBERTH,Narberth
SDRSFOT,Saundersfoot
FOWEYDK,Ecc
LOCHAWE,Loch Awe
KILGETY,Kilgetty
TENBY,Tenby
INGT679,Ingatestone Signal L679
DLMALLY,Dalmally
DLMALCE,Dalmally C.E.
BSPSLYD,Bishops Lydeard(W.Somerset Ry)
ACHNSCE,Achnasheen C.E.
ACHNSHN,Achnasheen
LRGN,Largin
GLNWHLY,Glenwhilly
STPNCVE,St Pinnock Viaduct East
GIRVANC,Pwss Girvan
GIRVAN,Girvan
WHLAND,Whitland
DNRAGIT,Dunragit
WEMYSSB,Wemyss Bay
LARGS,Largs
HNTRSLL,Hunterston Low Level Sidings
HNTRSTN,Hunterston
INVERKP,Inverkip
HNTRSHL,Hunterston High Level Sidings
WKILBRD,West Kilbride
FAIRLIE,Fairlie
SPEANBD,Spean Bridge
BRNTFHH,Brentford Town Days Flhh
CSTLGBR,Castleton R.W.D.
SPEANCE,Spean Bridge C.E.
ACHANLT,Achanalt
ARDRSHB,Ardrossan Harbour
DUNROD,Dunrod Passenger Loop
BRRHL,Barrhill
ARDRSTN,Ardrossan Town
IBMM,Ibm
HOLME,Holme
ARDRSDS,Ardrossan Chs
COOMBE,Coombe (Cornwall)
COOMMOR,Moorswater
ARDRSSB,Ardrossan South Beach
COOMJGF,Coombe Junction
GRLCHCE,Garelochhead C.E.
GOUROCK,Gourock
GOURSTN,Gourock Station (Engops)
GRLCHHD,Garelochhead
CAUSLND,Causeland
SLCT,Saltcoats
HLYHDAA,Anglesey Aluminium
HLYHDLS,Holyhead Cmd
HLYH,Holyhead
SDPLACE,Sandplace
LISKARD,Liskeard
BRNCHTN,Branchton
STKEYNE,St Keyne
LOOE,Looe
FRTMTLD,Fort Matilda
STVNNBS,Stevenston Ardeer
STVNNPS,Ici Petrochemical Div Ps
STVNDGL,Stevenston Down Goods Loop
STVNSTN,Stevenston
STVNSES,East Sidings
GRENCKW,Greenock West
ROYBDGE,Roy Bridge
GLDL,Glen Douglas
GLDLMOD,Mod (Navy)
HLYH107,Holyhead Sig. Hd107
GRENCKC,Greenock Central
WHINH,Whinhill
MENHENT,Menheniot
DUBBSJ,Dubbs Jn
VALLEY,Valley
VALLYNE,Valley Nuclear Electric Sdgs
CRTSDYK,Cartsdyke Greenock
KILWNCE,Kilwinning Up Siding
KILWUGL,Kilwinning U.G.L.
KILWNNG,Kilwinning
KILWJCE,Section Man Kilwinning Conc
DALRY,Dalry
MAYBOLE,Maybole
HLNSBRC,Helensburgh Central
HLNSBRU,Helensburgh Upper
DALRYRH,Roche Products
KKERRAN,Kilkerran
BOORCHY,Bridge Of Orchy
BYREHJ,Byrehill Jn
BOORCCE,Bridge Of Orchy C.E.
GRTONIB,Gorton (Block Post) Ce
LDYBURN,Ladyburn Sidings Greenock
BOGSTON,Bogston Port Glasgow
BROWDPL,Brownhill D.P.L.
BROWNHJ,Brownhill Jn
BROWNCE,Brownhill C.E.
BROWUPL,Brownhill U.P.L.
CRGDRN,Craigendoran
CRGDRNJ,Craigendoran Jn
CRGDRCE,Craigendoran Jn C.E.
ARCHRCE,Arrochar & Tarbet C.E.
ARCHRAT,Arrochar & Tarbet
ABINDS,Abington Down Siding
IRVNCE,Ce Central Materials Depot
IRVNBCC,Blue Circle
CRNLUDS,Crianlarich Down Sidings
IRVN,Irvine
ARDLUI,Ardlui
ARDLUCE,Rs
WEMYSBJ,Wemyss Bay Jn
PTGLSGW,Port Glasgow
GLGNUGL,Glengarnock U.G.L.
GLNGRCE,Glengarnock C.E.
GLGN,Glengarnock
LCHLCHR,Lochluichart
TROON,Troon
TYNDRML,Tyndrum Lower
BARAUGL,Barassie Jn U.G.L.
BARASIJ,Barassie Jn
BARASIE,Barassie
BARADPL,Barassie Jn D.P.L.
BARACE,Ce Barassie
RHOSNGR,Rhosneigr
AYRRHBR,Ayr Harbour
AYRRABP,Abp
IRVNCPP,Irvine Caledonian Paper Plc
TYNDRMU,Upper Tyndrum
TYNDRCE,Upper Tyndrum C.E.
AYRRCSD,Ayr Carriage Cleaning
AYRR,Ayr
AYRR853,Ayr Sig. Pa853
NWTOAJN,Newton Jn
NWTOA,Newton On Ayr
BELTLC,Belmont L.C.
HILHQRY,Hillhouse Quarry
WHHL,Woodhall Port Glasgow
PTALUSD,Port Talbot Up Sidings
PLMD782,Polmadie Signal G782
SHILGB,Shiledmuir Gb Railfreight
CDRS,Cardross
NLRTREV,Northallerton Reversing Line
UPTNLOV,Upton Lovell
HYWRUS,Haywards Heath Up Siding
ASHJNCE,Wimu Cm Civils Ashton Gate
GRNBURN,Greenburn Keir Mining
ECROUS,East Croydon Up Sidings
LSOMFD,Little Somerford
AYRRWRD,Ayr Wagon Repair Depot
BARASCP,Ce Tip (Shewalton)
PRFLLAF,Purfleet Lafarge
TYCROES,Ty Croes
PWCK,Prestwick
PWCKMBP,Bp Oil
PWCKAPT,Prestwick Internat'Nl Airport
WDHOFHH,Woodhouse Jn Sidings
MARCUCE,Ce Cmd
TULLOCE,Tulloch C.E.
DUNKUS,Dunkeld Up Siding
TULLOCH,Tulloch
DLRYMPL,Dalrymple Jn
CORROUR,Corrour
CORROCE,Corrour C.E.
STGRMNS,St Germans
LCHWNCH,Lochwinnoch
OXCRFHH,Oxcroft Disposal Point
GLHM23,Gillingham Signal Gm23
FYSD,Ferryside
AYRR335,Sig. Pa 335
PWLHELI,Pwllheli
NTHMDEP,Northam Depot
WAESIDE,Waterside
SMLHLAG,Small Heath Lafarge Aggregates
BSTEFHH,Bury St Edmunds Fhh
CRNLRCE,Pwss Crianlarich South
LGBK,Langbank
CRNLRCH,Crianlarich
RENTON,Renton
BODORGN,Bodorgan
BALLOCH,Balloch
DLREOCH,Dalreoch
DLRE665,Dalreoch Sig Yd665
ALXANDR,Alexandria
GARVE,Garve
GARVELC,Garve L.C.
GARVECE,Garve C.E.
DMBRTNC,Dumbarton Central
DMBRCCE,Dumbarton Central C.E.
KIDWELY,Kidwelly
ABRE,Abererch
ANNBANK,Annbank
CMTHNBG,Carmarthen Bridge
DMBRTNE,Dumbarton East
KLMAURS,Kilmaurs
CMTHNJ,Jn Sidings
DNLP,Dunlop
CMTHN,Carmarthen
MILKNPK,Milliken Park
STEWRTN,Stewarton
RICCRTN,Scottish Oils
RANNOCE,Rannoch C.E.
RANNOCH,Rannoch For Kinloch Rannoch
KILMBCY,Andrew Barclay & Sons
KILMRNK,Kilmarnock
KILMWKR,Walker J & Sons Hill St
KILMLTC,Long Lyes Local Sorting Sdgs
KILMCE,Ce Plant Depot
GUNISLK,Gunnislake
BISHPBA,Mod British Aerospace
SASH,Saltash
JOHNSTN,Johnstone
CALSTCK,Calstock
BISHPTN,Bishopton
CANOBAL,Cannon Street Ballast
KAYPRKJ,Kay Park Jn
BEREALS,Bere Alston
BOWLING,Bowling Dumbarton
AMLWCH,Amlwch
AMLWOCT,Amlwch Assoctd Octel Sdgs
STBDXVR,St Budeaux Victoria Road
STBDXFR,St Budeaux Ferry Road
PMBRYBP,Pembrey & Burry Port
STBDXJN,St Budeaux Jn.
HURLFD,Hurlford Signalbox
PENYCHN,Penychain
ELDRUPL,Elderslie U.P.L.
ELDRSLI,Elderslie
ELDRSCE,Elderslie C.E.
BEREFRS,Bere Ferrers
KEYHAM,Keyham
DOCKYDP,Dockyard
LUGTKMA,Kemira Fertilisers
LUGTON,Lugton
DEVNEXS,Devonport Royal Dockyard
DEVNPRT,Devonport
KLPTRCK,Kilpatrick
PSLYSTJ,Paisley St.James
STVTN,Steventon Brx
PLYMTH,Plymouth
NEILSTN,Neilston
RUGLBJN,Rugeley Power Station Jn
KILCHCL,Ncb Killoch Colliery
PSLYCAN,Paisley Canal
DALMRDS,Dalmuir Down Siding
PSLYGST,Paisley Gilmour Street
DALMUIR,Dalmuir
PLYMTHF,Plymouth Friary
PSLYDGL,Paisley Down Goods Loop
PSLYUCE,Paisley Up C.E.
GRWN,Gaerwen
ARKLSTJ,Arkleston Jn
DALMRRS,Dalmuir
CHMS,Chalmerston
MAUCHLN,Mauchline
CRICCTH,Criccieth
SINGER,Singer
HWKHEAD,Hawkhead
CLYBANK,Clydebank Central
BRHD,Barrhead
HWKHSHL,Paisley Hawkhead
LIPSONJ,Lipson Jn
MNTGLDJ,Mount Gould Jn
LARATMD,.
LARATMD,.
LLNLLI,Llanelli
LARAJN,Laira Junction Plymouth
YOKER,Yoker
DRUMRY,Drumry
HLNGTNW,Hillington West Glasgow
YOKERCS,Yoker Stabling & Cleaning
HLNGTNE,Hillington East Glasgow
CROKSTN,Crookston Glasgow
CROKSNL,Crookston Loop
DNSDCPA,Deanside Transit Ltd
NITSH,Nitshill Glasgow
GSCD,Garscadden Glasgow
DRMCHPL,Drumchapel Glasgow
CWMROPN,Ncb Cwmmawr Opencast
LFPW,Llanfairpwll
TROSTRW,Bsc (Trostre Works)
LUTO581,Luton Signal Wh581
SCTSTNH,Scotstounhill Glasgow
CDNLJN,Cardonald Jn
MSSPARK,Mosspark
MENAIBG,Menai Bridge
DNSDLP,Deanside Loop - Railtrack
CDNLNJN,Cardonald North Jn
LLDELOJ,Llandeilo Jn.
TVSTCKJ,Plymouth Tavistock Junction
PHLD,Priesthill & Darnley
PATERTN,Patterton
CDNL,Cardonald Glasgow
